date,ticker,transaction_type,log_price,value_in_thousands,num_shares,hour_of_day,price_lag_1,price_lag_2,owner_type,percent_change_in_shares,division,major_group
2033-01-10,AXAS,0,0.5709795465857378,-2.31,-3000.0,0,0.0,3.5316406776874447,Former VP CAO,-2.0,Mining,Oil And Gas Extraction
2032-02-15,NA,0,4.1595078881285135,-47.693,-756.559,0,0.5709795465857378,0.0,"Director, See Remarks",-3.0,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices
2031-03-05,BKJ,0,0.0,0.0,5000.0,0,4.1595078881285135,0.5709795465857378,Director,27.0,"Finance, Insurance, And Real Estate",Depository Institutions
2031-01-31,CUZ,0,2.2925347571405443,-11.953,-1343.0,0,0.0,4.1595078881285135,EVP,-5.0,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices
2031-01-29,AMP,0,0.0,0.0,6630.0,0,2.2925347571405443,0.0,Executive VP and CFO,38.0,"Finance, Insurance, And Real Estate","Security And Commodity Brokers, Dealers, Exchanges, And Services"
2030-03-19,CALB,0,0.0,0.0,1700.0,0,0.0,2.2925347571405443,"Director, See Remarks",3.0,"Finance, Insurance, And Real Estate",Depository Institutions
2030-03-19,CALB,0,0.0,0.0,1350.0,0,0.0,0.0,SEVP and Chief Banking Officer,6.0,"Finance, Insurance, And Real Estate",Depository Institutions
2030-03-19,CALB,0,0.0,0.0,1350.0,0,0.0,0.0,"SEVP, Chief Lending Offier",15.0,"Finance, Insurance, And Real Estate",Depository Institutions
2030-03-19,CALB,0,0.0,0.0,1200.0,0,0.0,0.0,Chief Technology Officer,6.0,"Finance, Insurance, And Real Estate",Depository Institutions
2030-03-19,CALB,0,0.0,0.0,1500.0,0,0.0,0.0,See Remarks,14.0,"Finance, Insurance, And Real Estate",Depository Institutions
2029-04-01,SHYF,0,2.5967461315435356,-20.692,-1666.0,0,0.0,0.0,VP Chief Accounting Officer,-2.0,Manufacturing,Transportation Equipment
2029-02-25,BGS,0,3.2386784521643803,-270.161,-11027.0,0,2.5967461315435356,0.0,"Director, President & CEO",-5.0,Manufacturing,Food And Kindred Products
2028-06-25,IIIV,0,0.0,0.0,34868.0,0,3.2386784521643803,2.5967461315435356,Chief Technology Officer,inf,Services,Business Services
2028-05-24,TMUS,-1,5.12924761542983,-63687.392,-379340.0,0,0.0,3.2386784521643803,"Director, 10% Owner",0.0,Transportation and Utilities,Communications
2027-02-17,LSCC,0,4.307303088477945,-170.21,-2324.0,0,5.12924761542983,0.0,"SVP, CTO",-1.0,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment"
2025-07-17,TWFG,0,0.0,0.0,34044396.0,0,4.307303088477945,5.12924761542983,"Director, President and CEO, 10% Owner",-22608.0,-1,-1
2025-05-10,VSH,1,3.1612467120315646,201.795,8929.0,0,0.0,4.307303088477945,Director,119.0,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment"
2025-03-15,INSW,0,0.0,0.0,-4351.0,0,3.1612467120315646,0.0,"Director, President & CEO",-3.0,Transportation and Utilities,Water Transportation
2024-12-31,NA,0,2.570319527636131,-3351.73,-277691.0,0,0.0,3.1612467120315646,10% Owner,-60.0,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices
2024-12-20,JOE,0,0.0,0.0,2793.0,0,2.570319527636131,0.0,SVP & Chief Admin. Officer,53.0,"Finance, Insurance, And Real Estate",Real Estate
2024-08-13,GT,1,2.200552367428894,252.206,31408.0,0,0.0,2.570319527636131,Director,inf,Manufacturing,Rubber And Miscellaneous Plastics Products
2024-08-13,HMNF,0,2.502255288122613,123.579,11024.0,0,2.200552367428894,0.0,EVP of Home Federal Svgs Bank,15.0,"Finance, Insurance, And Real Estate",Depository Institutions
2024-08-13,VIAV,-1,2.1424163408412245,-55.076,-7324.0,0,2.502255288122613,2.200552367428894,"EVP, Chief Mktg & Stgy Officer",-17.0,Manufacturing,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment"
2024-08-13,HYLN,0,0.0,0.0,40500.0,0,2.1424163408412245,2.502255288122613,Chief Technology Officer,15.0,Manufacturing,Transportation Equipment
2024-08-13,OHI,-1,3.6635616461296463,-51.376,-1352.0,0,0.0,2.1424163408412245,Director,-7.0,"Finance, Insurance, And Real Estate",Holding And Other Investment Offices
2024-08-13,HYLN,0,0.0,0.0,263250.0,0,3.6635616461296463,0.0,"Director, Chief Executive Officer, 10% Owner",1.0,Manufacturing,Transportation Equipment
2024-08-13,SHEN,1,2.7180005319553784,28.3,2000.0,0,0.0,3.6635616461296463,Executive VP & COO,3.0,Transportation and Utilities,Communications
2024-08-13,FTAI,0,0.0,0.0,241.0,0,2.7180005319553784,0.0,Director,0.0,Services,Business Services
2024-08-13,FTAI,0,0.0,0.0,241.0,0,0.0,2.7180005319553784,Director,0.0,Services,Business Services
2024-08-13,HYLN,0,0.0,0.0,40500.0,0,0.0,0.0,Chief Commercial Officer,18.0,Manufacturing,Transportation Equipment
2024-08-13,ERIE,-1,6.11866972134327,-226.63,-500.0,0,0.0,0.0,Director,-24.0,"Finance, Insurance, And Real Estate","Insurance Agents, Brokers, And Service"
2024-08-13,GRMN,0,0.0,0.0,-16472.0,0,6.11866972134327,0.0,"Director, Executive Chairman",0.0,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks"
2024-08-13,RDGL,1,0.10436001532424286,5.5,50000.0,0,0.0,6.11866972134327,"Director, CEO AND PRESIDENT",0.0,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks"
2024-08-13,HYLN,0,0.0,0.0,9375.0,0,0.10436001532424286,0.0,Chief Accounting Officer.,5.0,Manufacturing,Transportation Equipment
2024-08-13,POST,1,4.735671994052249,225.88,2000.0,0,0.0,0.10436001532424286,Director,6.0,Manufacturing,Food And Kindred Products
2024-08-13,FHN,0,0.0,0.0,-50000.0,0,4.735671994052249,0.0,"Director, Chairman, President & CEO",-2.0,"Finance, Insurance, And Real Estate",Depository Institutions
2024-08-13,APYX,1,0.7561219797213337,6.03,5336.0,0,0.0,4.735671994052249,Chief Financial Officer,213.0,Manufacturing,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks"
2024-08-13,CRC,1,3.891207865714226,1002.333,20895.0,0,0.7561219797213337,0.0,Director,564.0,Mining,Oil And Gas Extraction
2024-08-13,GRNT,1,1.9782390361706734,31.15,5000.0,0,3.891207865714226,0.7561219797213337,President and CEO,6.0,Mining,Oil And Gas Extraction
2024-08-13,HYLN,0,0.0,0.0,49000.0,0,1.9782390361706734,3.891207865714226,Chief Strategy Officer,10.0,Manufacturing,Transportation Equipment
